Date,Price,Open,High,Low,Vol.,Change %
03/08/2022,1490.17,1500.07,1506.65,1486.68,222.31K,-1.26%
03/07/2022,1509.12,1514.76,1518.32,1505.79,222.54K,-1.06%
03/04/2022,1525.34,1525.23,1529.93,1519.97,220.07K,0.19%
03/03/2022,1522.49,1507.53,1522.49,1502.41,244.08K,1.59%
03/02/2022,1498.61,1516.31,1517.49,1495.16,291.45K,-1.42%
03/01/2022,1520.12,1521.44,1525,1515.49,187.03K,0.19%
02/28/2022,1517.18,1525.58,1533.32,1512.45,193.57K,-0.61%
02/25/2022,1526.5,1531.97,1540.13,1526.5,198.11K,0.29%
02/24/2022,1522.04,1537.5,1540.13,1503.22,275.31K,-1.09%
02/23/2022,1538.83,1536.6,1547.19,1534.19,158.14K,0.42%
02/22/2022,1532.36,1532.07,1532.36,1510.07,223.63K,-0.07%
02/21/2022,1533.4,1530.65,1537.56,1522.48,163.18K,0.13%
02/18/2022,1531.47,1525.21,1533.53,1523.88,155.11K,-0.59%
02/17/2022,1540.51,1521.37,1540.51,1521.37,146.57K,1.25%
02/16/2022,1521.47,1534.39,1534.5,1517.52,122.06K,-0.39%
02/15/2022,1527.36,1508.25,1530.04,1506.69,180.95K,1.48%
02/14/2022,1505.07,1530.5,1536.77,1505.07,254.06K,-2.64%
02/11/2022,1545.92,1544.76,1549.37,1540.5,167.68K,-0.20%
02/10/2022,1548.95,1554.98,1557.89,1536.02,225.00K,-0.22%
02/09/2022,1552.44,1554.59,1570.32,1552.44,230.55K,0.13%
02/08/2022,1550.46,1539.49,1555.01,1537.16,218.96K,0.60%
02/07/2022,1541.25,1548.38,1555.01,1541.25,182.87K,0.59%
01/28/2022,1532.24,1516.4,1535.57,1515.85,194.57K,1.03%
01/27/2022,1516.57,1520.82,1528.81,1507.26,158.58K,-0.57%
01/26/2022,1525.31,1519.9,1533.61,1516.96,236.86K,0.60%
01/25/2022,1516.16,1471.56,1516.16,1466.07,191.55K,3.05%
01/24/2022,1471.31,1496.36,1499.22,1465.76,243.48K,-2.05%
01/21/2022,1502.16,1497.61,1508.65,1492.21,218.98K,0.63%
01/20/2022,1492.81,1479.81,1499.47,1474.67,163.72K,0.69%
01/19/2022,1482.55,1479.74,1491,1475.06,142.26K,0.37%
01/18/2022,1477.06,1473.04,1489.13,1464.41,214.02K,-0.10%
01/17/2022,1478.61,1523.17,1529.28,1478.61,290.14K,-2.95%
01/14/2022,1523.57,1523.96,1530.2,1513.17,135.95K,-0.19%
01/13/2022,1526.43,1533.38,1548.49,1524.66,308.82K,-0.24%
01/12/2022,1530.04,1498.63,1530.04,1484.93,282.09K,2.02%
01/11/2022,1499.74,1516.74,1519.84,1497.78,187.02K,-0.99%
01/10/2022,1514.7,1531.13,1537.71,1514.7,200.03K,-1.14%
01/07/2022,1532.24,1548.77,1550.47,1532.24,200.63K,-0.82%
01/06/2022,1544.95,1542.34,1554.97,1541.19,231.96K,-0.07%
01/05/2022,1546.01,1559.33,1562.93,1546.01,222.22K,-0.82%
01/04/2022,1558.87,1536.45,1562.54,1536.45,207.49K,1.51%
12/31/2021,1535.71,1523.58,1537.32,1523.41,183.41K,1.06%
12/30/2021,1519.62,1515.75,1526.2,1515.75,145.70K,0.24%
12/29/2021,1515.94,1525.82,1528.9,1515.94,154.78K,-0.50%
12/28/2021,1523.54,1518.56,1523.54,1509.58,189.42K,0.59%
12/27/2021,1514.55,1515.24,1517.45,1500.31,134.57K,0.52%
12/24/2021,1506.67,1484.51,1507.48,1481.37,197.96K,1.98%
12/23/2021,1477.37,1504.61,1506.43,1470.94,241.49K,-1.78%
12/22/2021,1504.12,1514.98,1519.74,1498.96,220.18K,-0.49%
12/21/2021,1511.48,1512.01,1517.69,1507.89,175.78K,-0.14%
